,offer_accepted,reward,mailer_type,income_level,bank_accounts_open,overdraft_protection,credit_rating,credit_cards_held,homes_owned,household_size,own_home,avg_balance,q1_balance,q2_balance,q3_balance,q4_balance
79,No,Cash Back,Postcard,Medium,One,No,Medium,Two,One,Four,Yes,970,1675,1131,581,495
80,No,Cash Back,Letter,High,One,No,Low,Two,One,Four,Yes,995,662,1174,1637,508
81,No,Points,Postcard,Medium,One,No,Medium,Two,One,Three,Yes,904,1471,1381,605,159
82,No,Cash Back,Postcard,High,Two,No,High,One,One,Five,Yes,1128,969,1103,1182,1260
83,No,Air Miles,Postcard,Medium,Three,No,Medium,Two,One,Three,Yes,1102,200,1704,1855,652
84,No,Cash Back,Postcard,Medium,One,No,High,One,One,Four,Yes,976,332,1589,1374,610
85,No,Air Miles,Letter,Medium,Two,No,High,Two,One,Five,Yes,839,697,901,882,879
86,No,Points,Postcard,Medium,One,No,Medium,Two,One,Four,No,1293,538,826,1735,2073
87,No,Cash Back,Postcard,Medium,Two,No,High,Two,One,Five,Yes,819,321,1036,1274,647
88,No,Air Miles,Postcard,Medium,Two,No,Low,Two,Two,Three,Yes,1094,1864,1440,900,174
89,No,Points,Postcard,Low,One,Yes,Low,One,One,Two,Yes,1247,757,450,1768,2014
90,No,Air Miles,Letter,Medium,One,No,High,Three,One,Three,Yes,167,195,124,190,159
91,No,Cash Back,Letter,Medium,One,No,High,Three,One,Two,Yes,1144,636,1275,1405,1263
92,No,Air Miles,Letter,Low,One,No,Medium,One,One,Three,No,909,1535,1384,509,211
93,No,Cash Back,Postcard,Medium,One,Yes,Low,Three,One,Three,Yes,976,187,684,1246,1788
94,No,Points,Postcard,Low,Two,No,Medium,Two,Three,Four,Yes,741,534,883,833,714
95,No,Air Miles,Postcard,Low,One,No,Medium,One,One,Two,Yes,1343,876,1745,1538,1216
96,Yes,Points,Letter,Low,Two,No,Low,Three,One,Three,Yes,1454,1274,1412,1838,1294
97,No,Air Miles,Letter,Medium,One,No,Medium,One,One,Four,No,1791,1790,1994,1616,1765
98,No,Points,Letter,Low,Two,Yes,Medium,One,One,Three,Yes,1185,382,1293,2183,885
99,No,Cash Back,Letter,Low,One,No,High,Two,One,Three,Yes,1210,592,926,1152,2173
100,Yes,Points,Postcard,High,One,Yes,Low,One,One,Nine,No,161,44,99,454,49
101,No,Cash Back,Letter,Low,One,Yes,High,One,One,Two,Yes,1033,1982,1018,934,201
102,No,Cash Back,Letter,High,Two,No,Low,Two,One,Five,Yes,963,237,966,1461,1188
103,No,Cash Back,Postcard,Medium,One,No,High,Two,Three,Five,Yes,1025,1260,681,1473,689
104,No,Points,Letter,Low,One,No,High,One,One,Five,Yes,1071,1349,503,1738,697
105,No,Cash Back,Letter,Low,One,No,Low,Two,Two,Three,Yes,1039,1934,1078,812,334
106,No,Air Miles,Postcard,Medium,One,No,Low,Three,One,Three,Yes,979,1837,1225,805,50
107,No,Points,Postcard,High,One,No,High,Two,One,One,Yes,905,1538,1333,545,206
108,No,Cash Back,Letter,High,One,Yes,Medium,Two,One,Five,Yes,924,1517,1497,676,6
109,No,Cash Back,Postcard,Low,One,No,Low,One,One,Two,Yes,1061,1860,1191,923,273
110,No,Points,Postcard,Medium,One,Yes,Medium,Three,Two,One,No,816,860,579,974,853
111,Yes,Air Miles,Letter,High,One,Yes,High,Two,One,Five,Yes,1082,1890,1405,996,39
112,No,Cash Back,Postcard,Medium,Two,No,Low,One,One,Four,Yes,928,1770,1124,457,362
113,No,Points,Postcard,High,One,No,Medium,Two,One,Three,Yes,1397,1804,1730,1270,785
114,No,Points,Postcard,Low,Two,No,Low,One,Two,Five,No,1034,1564,1443,832,299
115,No,Air Miles,Postcard,Medium,One,No,Low,Two,One,Five,Yes,738,703,735,831,685
116,No,Cash Back,Postcard,High,One,No,High,Two,One,Four,Yes,1251,977,1562,1719,748
117,No,Points,Postcard,Low,One,No,High,One,One,Five,Yes,1153,520,1500,1711,884
118,No,Cash Back,Postcard,High,One,No,Medium,Two,One,Four,Yes,864,345,605,1043,1463
119,No,Cash Back,Letter,Medium,One,No,High,Three,One,Two,No,1155,1233,1101,1065,1223
120,No,Cash Back,Postcard,High,One,No,High,One,Two,Five,No,1090,1997,1093,784,488
121,No,Cash Back,Letter,Low,One,No,Medium,Two,One,Four,No,1090,1809,1526,691,336
122,No,Air Miles,Letter,Low,One,No,Low,Two,One,Three,Yes,773,974,675,503,943
123,No,Air Miles,Postcard,Medium,One,No,Medium,Two,One,Three,Yes,1052,403,1225,1652,928
124,No,Air Miles,Postcard,Medium,One,No,Medium,Two,One,Four,Yes,944,1558,1188,662,369
125,No,Points,Letter,Medium,One,No,High,One,Two,Four,No,1147,753,1031,1067,1738
126,No,Cash Back,Letter,High,One,No,High,Two,One,Three,Yes,1159,1029,684,1418,1507
127,No,Air Miles,Postcard,High,One,No,High,One,One,Three,No,836,941,618,886,901
128,No,Cash Back,Letter,Medium,Two,No,Medium,Two,One,Three,Yes,1057,439,1014,1843,935
129,No,Cash Back,Postcard,Medium,One,No,Medium,Three,One,Five,No,714,287,750,1192,630
130,Yes,Air Miles,Postcard,High,Two,No,Medium,Two,Two,Three,Yes,811,820,958,564,904
131,No,Cash Back,Letter,Medium,One,No,High,Two,One,Three,No,865,1803,1027,557,76
132,No,Cash Back,Postcard,Medium,One,No,Low,One,One,Three,Yes,887,498,408,1343,1300
133,No,Cash Back,Letter,High,One,No,Medium,Two,One,Five,No,1791,1735,1950,1500,1982
134,No,Points,Postcard,High,One,No,High,Two,One,Three,Yes,1083,1849,1492,723,268
135,No,Points,Letter,Medium,Two,No,Low,One,One,Two,Yes,212,404,14,220,212
136,No,Cash Back,Letter,Medium,One,No,Low,Two,One,Two,No,877,983,834,843,851
137,No,Air Miles,Letter,Medium,One,No,High,Two,One,Three,No,691,63,1144,833,726
138,No,Air Miles,Postcard,Low,Two,No,Medium,Two,Two,Four,Yes,814,67,906,997,1288
139,No,Points,Postcard,Medium,One,No,Medium,Two,One,Four,Yes,955,1656,1237,620,309
140,No,Cash Back,Letter,High,One,No,High,Two,One,Four,Yes,1281,1009,1111,1783,1223
141,No,Air Miles,Letter,High,One,Yes,Low,Two,One,Three,Yes,937,730,955,848,1217
142,No,Points,Letter,Medium,Three,Yes,Medium,Two,One,Three,Yes,919,241,1084,1701,653
143,No,Points,Postcard,Medium,Three,Yes,High,One,One,Three,Yes,879,247,1293,1400,579
144,No,Points,Letter,Medium,One,Yes,Low,Four,One,Four,No,1181,1446,592,2203,483
145,No,Air Miles,Postcard,Low,One,No,Medium,One,Two,Three,No,1153,311,1460,1584,1259
146,No,Points,Postcard,High,One,No,High,Two,One,Four,Yes,794,696,449,819,1213
147,No,Points,Postcard,Medium,One,Yes,Low,Three,One,Four,Yes,927,128,917,1622,1042
148,No,Points,Letter,Medium,One,No,Medium,Three,One,Two,No,1809,1968,1762,1534,1972
149,No,Cash Back,Letter,Low,One,No,Medium,One,One,Five,No,1156,430,708,1661,1826
150,No,Air Miles,Postcard,High,One,Yes,Low,Two,One,Four,No,1121,625,931,1072,1858
151,No,Cash Back,Letter,High,One,No,Medium,Two,One,Four,Yes,1203,1240,1692,1322,558
152,No,Points,Letter,High,Two,No,Low,One,One,One,No,246,88,430,190,277
153,No,Air Miles,Letter,Low,Two,No,Low,One,One,Four,Yes,1454,664,1363,1622,2170
154,No,Points,Postcard,High,One,No,Low,Two,One,Two,No,687,731,530,556,931
155,No,Points,Postcard,High,Two,Yes,Low,One,One,Three,Yes,928,1688,1345,675,4
156,No,Points,Postcard,High,One,No,Low,Two,One,Two,No,933,1582,1500,577,73
157,Yes,Cash Back,Postcard,Medium,Three,No,Low,One,One,Five,No,1133,1856,1396,863,418
158,No,Cash Back,Letter,Medium,One,No,Low,Three,Two,Five,Yes,1301,2090,1250,1071,795
159,No,Cash Back,Letter,High,Two,No,Medium,One,One,Two,Yes,1199,330,970,1488,2008
160,No,Points,Letter,Medium,Two,No,Low,One,One,Three,Yes,1084,206,619,1467,2045
161,No,Cash Back,Postcard,Low,One,No,High,Two,One,Two,No,1094,834,876,2113,555
162,No,Points,Letter,High,One,Yes,High,One,One,Three,Yes,1104,2145,1053,755,463
163,No,Air Miles,Letter,High,One,No,Low,One,One,Four,Yes,1042,941,805,1721,703
164,No,Cash Back,Postcard,Medium,One,No,High,One,One,Five,Yes,1089,1701,1484,850,324
165,No,Points,Postcard,Medium,One,No,Medium,Two,One,Three,Yes,974,100,1187,997,1613
166,No,Air Miles,Postcard,Medium,Two,No,High,Two,One,Three,Yes,991,1797,1265,799,105
167,No,Points,Postcard,Low,One,Yes,Medium,Two,One,Three,Yes,1204,327,1457,2194,839
168,No,Air Miles,Postcard,Medium,One,No,Low,Two,One,Five,No,865,235,1452,1304,469
169,No,Points,Postcard,Medium,One,No,High,Two,One,Two,Yes,1144,887,911,1678,1100
170,No,Air Miles,Letter,Medium,One,No,Medium,Three,Two,Four,Yes,958,1556,1469,626,183
171,No,Cash Back,Letter,Medium,One,No,Low,Two,Two,Three,Yes,1056,918,921,1838,548
172,No,Points,Letter,Medium,One,No,Medium,Three,One,Three,Yes,695,528,866,871,515
173,No,Cash Back,Postcard,Low,One,No,High,Four,One,Two,Yes,1237,776,1181,1208,1785
174,No,Cash Back,Letter,Low,One,No,High,Two,One,Five,Yes,1034,1789,831,794,722
175,No,Cash Back,Letter,High,One,No,High,One,One,Four,Yes,1246,1988,1589,451,958
176,No,Cash Back,Letter,Medium,One,No,Low,Two,One,Two,No,998,1123,553,1221,1098
177,No,Points,Postcard,High,One,No,Medium,Two,One,Three,Yes,1028,1885,1042,969,216
178,No,Points,Postcard,Medium,Two,No,High,Two,One,Two,No,320,385,368,264,263
179,No,Points,Letter,Low,Two,No,High,One,Two,Three,Yes,91,76,64,121,104
180,No,Points,Letter,High,Two,Yes,Medium,One,One,Three,Yes,166,250,191,168,56
181,No,Air Miles,Letter,Medium,Two,Yes,Low,Three,One,Two,No,240,123,288,229,320
182,No,Points,Postcard,Medium,One,No,Medium,Two,One,Five,No,124,90,154,78,177
183,No,Air Miles,Letter,High,One,No,Low,One,One,Three,No,1145,300,1776,1776,731
184,No,Points,Postcard,Medium,Three,No,Low,Two,One,Six,No,1292,1787,1746,1073,564
185,No,Points,Letter,Medium,One,Yes,High,Two,Two,Three,Yes,1186,1006,464,1194,2080
186,No,Air Miles,Postcard,Medium,Two,No,High,One,One,Five,Yes,1135,679,1482,1630,750
187,No,Cash Back,Letter,Low,One,No,Low,Three,One,Four,Yes,1279,319,1533,2062,1203
188,No,Air Miles,Postcard,High,One,No,Low,Two,Two,Three,Yes,1162,156,1399,1837,1256
189,No,Cash Back,Postcard,Medium,One,No,Low,Two,One,Three,No,954,1434,877,714,793
190,No,Cash Back,Postcard,Medium,One,No,Medium,Two,One,Three,Yes,1073,751,930,1186,1426
191,No,Points,Letter,Medium,One,No,Medium,One,One,Four,Yes,889,239,992,1523,802
192,No,Points,Letter,Medium,One,No,Low,One,One,Three,No,294,108,376,467,226
193,No,Air Miles,Postcard,Low,Two,No,Low,Three,One,Three,Yes,1047,487,1457,1252,994
194,No,Air Miles,Letter,Low,Two,No,Low,One,One,Three,Yes,661,662,533,907,543
195,No,Cash Back,Letter,Medium,Two,No,Medium,Three,One,Two,Yes,158,45,118,450,22
196,No,Cash Back,Postcard,High,One,No,Medium,Two,Two,Three,Yes,1059,394,811,1618,1413
197,No,Air Miles,Letter,Low,One,No,Medium,One,One,Two,Yes,1741,1621,1884,1923,1539
198,No,Points,Postcard,High,One,No,Low,One,One,Four,Yes,1419,738,1298,2090,1552
199,No,Cash Back,Letter,Medium,One,No,Low,Two,One,Three,Yes,232,445,68,150,267
200,No,Points,Letter,Medium,One,No,High,Two,One,Three,No,1122,1863,1147,1233,247
201,No,Cash Back,Postcard,Medium,Two,No,Low,One,One,Four,No,1250,987,787,1420,1809
202,No,Air Miles,Letter,Medium,One,No,High,Three,Two,Two,Yes,1057,1741,1236,981,270
203,No,Points,Postcard,High,One,No,Low,One,Two,Four,No,1195,1197,1866,1304,413
204,No,Air Miles,Letter,Medium,Two,Yes,High,One,One,Three,Yes,936,1714,1020,769,242
205,No,Air Miles,Postcard,High,One,No,Low,One,One,Five,Yes,791,818,845,760,743
206,No,Cash Back,Letter,Medium,Two,No,High,One,One,Four,Yes,1426,1363,1833,1505,1003
207,No,Air Miles,Letter,Low,Two,No,High,Two,One,Four,Yes,764,732,951,521,855
208,No,Air Miles,Letter,Medium,One,No,High,Two,One,Three,Yes,830,155,842,1450,873
209,No,Air Miles,Letter,Low,One,No,High,Two,One,Three,No,1162,405,1242,1788,1214
210,No,Cash Back,Letter,Medium,Two,No,High,Two,Two,Three,Yes,1065,906,883,1571,902
211,No,Cash Back,Letter,Medium,One,Yes,Low,One,One,Three,Yes,1022,646,803,1500,1140
212,No,Cash Back,Postcard,Medium,One,No,Low,Four,One,Five,Yes,1181,1972,1794,873,85
213,No,Air Miles,Postcard,Low,One,No,Medium,Three,One,Four,Yes,1764,1752,1932,1581,1791
214,No,Cash Back,Letter,Low,Two,No,Low,Two,Two,Two,No,1043,704,1300,1256,913
215,No,Points,Letter,Medium,One,No,High,Two,One,Three,No,1702,1658,1866,1565,1719
216,No,Air Miles,Postcard,High,One,No,Medium,Two,One,Four,No,856,1624,1261,504,35
217,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Five,No,390,423,347,298,495
218,No,Air Miles,Postcard,Low,One,No,Low,Three,Two,Four,No,1101,1275,867,1342,922
219,No,Points,Letter,Low,One,No,Medium,Two,One,Four,No,1016,1889,1436,510,231
220,No,Cash Back,Letter,Medium,Two,No,High,Three,One,Five,Yes,287,238,442,17,454
221,No,Cash Back,Letter,Low,One,No,Low,Three,One,Six,No,841,100,1023,993,1249
222,No,Cash Back,Postcard,Medium,One,No,Low,Three,Two,Six,Yes,911,1619,1282,676,70
223,Yes,Air Miles,Letter,Low,One,No,Low,One,One,Three,No,1141,675,1173,1519,1199
224,No,Air Miles,Letter,Medium,One,No,High,One,One,Four,Yes,946,1757,1273,613,142
225,No,Cash Back,Letter,Low,One,No,High,Three,One,Five,Yes,1190,945,774,1132,1910
226,No,Air Miles,Letter,Medium,One,No,High,Three,One,Four,Yes,924,104,1190,1301,1101
227,No,Cash Back,Postcard,Low,One,No,Low,Two,One,Four,No,823,586,995,822,892
228,No,Points,Postcard,Medium,One,No,High,Three,One,Four,No,1006,310,1456,1850,408
229,No,Points,Letter,Low,One,No,Low,One,One,Four,Yes,1008,189,1665,1690,491
230,No,Points,Letter,Low,One,No,Medium,Two,One,Three,No,1128,188,619,1629,2076
231,No,Cash Back,Postcard,High,Two,No,Low,Two,One,One,Yes,1340,2196,1127,1356,683
232,No,Points,Postcard,Low,One,Yes,Low,Three,One,Three,No,1371,514,1208,1657,2105
233,No,Cash Back,Letter,Medium,One,No,Low,One,Two,Three,No,1331,1043,1530,1700,1052
234,No,Points,Postcard,Low,One,Yes,High,Two,One,Three,Yes,704,274,706,818,1020
235,No,Air Miles,Postcard,Medium,One,No,High,One,Two,Three,Yes,1509,1175,1559,2214,1088
236,No,Cash Back,Postcard,High,Two,No,Low,Three,One,Three,No,203,32,382,240,159
237,No,Air Miles,Postcard,High,One,No,Medium,One,One,Two,Yes,1034,1519,1401,867,349
238,No,Air Miles,Postcard,Medium,One,No,Low,Three,One,Five,No,1007,108,1698,1722,501
239,No,Air Miles,Letter,Medium,One,No,High,Three,One,Four,Yes,874,1206,493,833,964
240,No,Points,Letter,Medium,Two,No,High,One,Two,Four,Yes,1148,1861,1434,967,330
241,No,Air Miles,Letter,High,One,No,Low,Three,One,Three,Yes,229,207,133,403,174
242,No,Points,Postcard,Medium,One,No,High,Two,One,Three,No,962,1405,1256,444,746
243,No,Points,Postcard,Medium,One,No,Low,Four,One,Five,No,1437,865,1304,1420,2162
244,No,Air Miles,Letter,Low,One,No,High,One,One,Four,Yes,1281,765,1147,2116,1098
245,No,Air Miles,Letter,Medium,One,No,High,Two,One,Three,Yes,1029,1274,1451,703,690
246,No,Air Miles,Postcard,Low,One,No,High,Two,One,Two,No,883,1583,1012,747,193
247,No,Air Miles,Letter,Medium,One,No,Low,Four,Two,Four,No,1144,954,1752,803,1069
248,No,Points,Letter,Medium,One,No,Medium,Two,Two,Three,Yes,1117,65,1762,1723,918
249,Yes,Air Miles,Letter,High,One,No,Medium,One,One,Five,Yes,1047,438,762,1014,1977
250,No,Air Miles,Postcard,Low,One,No,Medium,Four,One,Four,Yes,992,115,837,1224,1794
251,No,Air Miles,Letter,Low,One,No,High,One,One,One,Yes,1065,1422,895,1356,588
252,No,Points,Postcard,Low,One,No,Low,Four,One,Three,No,1526,989,1679,2046,1390
253,No,Air Miles,Letter,Medium,One,No,Medium,Two,One,Two,Yes,1741,1757,1599,1907,1704
254,No,Cash Back,Letter,Medium,Two,No,High,One,Two,Three,No,342,332,303,390,345
255,No,Air Miles,Letter,Medium,One,No,Medium,Three,One,Five,No,935,302,435,1700,1306
256,No,Points,Postcard,Low,One,No,Low,One,One,One,Yes,1058,190,1262,1595,1187
257,No,Points,Letter,Medium,One,No,Medium,Three,One,Three,Yes,855,758,959,864,839
258,No,Cash Back,Postcard,Medium,One,No,Medium,One,Two,Five,No,1263,947,1650,1094,1361
259,No,Cash Back,Letter,Medium,Two,No,Medium,One,One,Six,Yes,1094,1613,1397,918,449
260,No,Air Miles,Postcard,High,One,No,High,Two,One,Two,No,228,370,224,15,304
261,No,Cash Back,Postcard,Medium,One,No,Low,One,Two,Three,No,1265,679,1505,1989,887
262,Yes,Air Miles,Postcard,Medium,One,No,Low,Four,One,Four,No,1034,1720,1070,911,435
263,No,Points,Postcard,Medium,One,No,Low,Two,Two,Two,Yes,1210,1395,1731,1184,531
264,No,Cash Back,Letter,Low,One,No,High,Two,One,Three,Yes,1150,1989,1234,885,494
265,No,Points,Postcard,Low,Two,No,Medium,Two,One,Three,Yes,691,518,794,512,942
266,No,Points,Letter,Medium,One,No,Medium,Two,One,Three,Yes,1296,338,748,2239,1860
267,No,Points,Letter,Medium,One,No,Medium,Two,Two,Three,Yes,690,507,748,759,748
268,No,Cash Back,Letter,Medium,One,No,Medium,One,One,Four,Yes,1161,1958,1001,1254,432
269,No,Cash Back,Letter,Low,One,Yes,Low,Three,One,One,Yes,874,987,870,963,677
270,No,Cash Back,Postcard,Low,One,No,High,Two,One,Two,Yes,1272,641,861,1838,1751
271,No,Air Miles,Letter,Low,Two,No,Low,One,One,Three,No,1028,1729,1346,925,115
272,No,Cash Back,Letter,Medium,Two,No,Medium,One,One,Four,No,677,958,553,622,576
273,No,Air Miles,Postcard,High,One,No,Low,Three,One,Four,No,1053,394,946,1556,1317
274,No,Points,Postcard,Low,One,No,High,One,One,Three,No,1022,522,723,1109,1734
275,No,Points,Letter,Medium,One,No,Medium,Three,Two,Three,Yes,1024,1241,975,1112,768
276,Yes,Points,Postcard,High,Two,No,Low,One,One,One,Yes,887,1709,1089,521,230
277,No,Air Miles,Letter,Medium,One,No,Medium,Two,Two,Four,No,1163,94,1049,1643,1867
278,No,Points,Letter,High,One,No,Low,Two,One,Three,No,139,247,57,4,248
279,No,Points,Letter,Medium,One,No,High,Four,One,Three,Yes,1164,829,739,1385,1705
280,Yes,Cash Back,Postcard,Low,One,Yes,Low,Two,One,Four,Yes,984,1414,759,1111,652
281,No,Air Miles,Letter,Low,One,Yes,Medium,Two,One,Four,Yes,735,593,941,832,577
282,No,Cash Back,Letter,Medium,One,No,High,Two,One,Three,Yes,1176,242,1241,1655,1566
283,No,Air Miles,Postcard,Medium,One,No,Medium,Three,Two,Five,No,1504,929,1050,2232,1807
284,Yes,Points,Postcard,Low,Two,No,Low,Four,One,Three,Yes,881,950,948,950,677
285,No,Cash Back,Postcard,Medium,One,No,Low,Two,One,Three,Yes,1168,2162,1074,972,466
286,Yes,Cash Back,Letter,Low,Two,No,Low,Three,Two,Three,Yes,1107,1302,1545,1396,187
287,No,Air Miles,Letter,Medium,Two,No,High,Two,One,Four,No,129,355,79,23,62
